1
295	46	259	274	257	267	53	388	384	171	239	125	5	331	175	409	380	209	197	410
264	347	275	148	65	249	195	260	119	105	111	31	147	371	184	151	254	173	80	354
97	415	60	99	288	342	170	37	24	153	100	20	188	110	300	413	273	84	382	4
372	261	366	315	399	52	17	62	113	200	393	161	29	290	313	78	101	30	9	302
360	229	265	304	238	234	45	297	102	218	6	287	351	311	74	122	289	76	353	144
416	219	121	341	358	420	377	176	166	330	368	135	296	244	118	266	7	3	58	75
214	183	36	207	363	123	89	124	49	326	2	403	310	362	71	397	361	343	395	47
26	327	241	386	54	412	149	8	293	77	142	256	340	378	128	70	294	217	216	374
27	199	146	141	177	356	337	258	396	185	32	182	414	107	96	215	279	68	82	336
329	157	56	417	191	405	15	270	186	104	158	231	359	312	25	225	13	233	112	345
301	419	139	230	117	318	406	283	324	193	232	246	211	316	236	205	79	194	262	247
369	255	42	206	140	245	130	44	103	344	19	160	277	328	248	220	365	352	370	21
243	332	346	212	320	322	284	210	383	317	180	10	401	55	109	298	35	72	276	278
385	208	126	391	272	168	50	381	292	11	271	40	309	41	143	333	94	263	227	156
392	92	367	136	251	174	33	145	250	159	308	154	252	12	339	120	192	87	379	222
95	299	323	39	187	198	223	34	162	306	108	305	398	132	18	349	253	165	387	61
286	350	338	66	402	408	282	226	134	114	155	64	93	86	83	291	390	1	179	400
348	213	235	280	373	22	127	28	69	242	115	91	129	228	307	240	106	325	43	163
224	38	335	152	314	268	67	181	285	203	355	389	201	407	16	81	319	23	196	59
357	137	321	334	411	178	303	90	404	88	375	85	237	169	364	51	269	150	164	

